episode_length,mark,marks_nb,nb_episodes,nb_seasons,synopsis,title,url,years
45m,9.5,2.1M,62,5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=chttvtp_i_1,2008–2013
55m,9.2,2.3M,74,8,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",Game of Thrones,https://www.imdb.com/title/tt0944947/?ref_=chttvtp_i_13,2011–2019
,9.2,28K,26,,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",The World at War,https://www.imdb.com/title/tt0071075/?ref_=chttvtp_i_14,1973–1974
7m,9.4,25K,173,3,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,Bluey,https://www.imdb.com/title/tt7678620/?ref_=chttvtp_i_15,2018– 
23m,9.1,597K,74,10,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,Rick and Morty,https://www.imdb.com/title/tt2861424/?ref_=chttvtp_i_16,2013– 
7h 53m,9.1,43K,11,,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evo...,Life,https://www.imdb.com/title/tt1533395/?ref_=chttvtp_i_18,2009
8h 11m,9.1,150K,10,,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",The Last Dance,https://www.imdb.com/title/tt8420184/?ref_=chttvtp_i_19,2020
50m,9.3,50K,12,2,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematogra...",Our Planet,https://www.imdb.com/title/tt9253866/?ref_=chttvtp_i_12,2019–2023
,9.3,44K,13,,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Cosmos,https://www.imdb.com/title/tt0081846/?ref_=chttvtp_i_11,1980
9h 17m,9.3,128K,13,,An exploration of our discovery of the laws of nature and coordinates in space and time.,Cosmos: A Spacetime Odyssey,https://www.imdb.com/title/tt2395695/?ref_=chttvtp_i_10,2014
55m,9.2,465K,86,6,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli...",The Sopranos,https://www.imdb.com/title/tt0141842/?ref_=chttvtp_i_9,1999–2007
23m,9.3,366K,62,3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/?ref_=chttvtp_i_7,2005–2008
6h 4m,9.3,46K,7,,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa...",Blue Planet II,https://www.imdb.com/title/tt6769208/?ref_=chttvtp_i_8,2017
24m,9.1,195K,68,,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Fullmetal Alchemist: Brotherhood,https://www.imdb.com/title/tt1355642/?ref_=chttvtp_i_17,2009–2010
59m,9.3,374K,60,5,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",The Wire,https://www.imdb.com/title/tt0306414/?ref_=chttvtp_i_6,2002–2008
,9.3,856K,5,,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the fo...",Chernobyl,https://www.imdb.com/title/tt7366338/?ref_=chttvtp_i_5,2019
22m,8.5,35K,56,4,Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.,The Boondocks,https://www.imdb.com/title/tt0373732/?ref_=chttvtp_i_250,2005–2014
25m,8.5,19K,268,7,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c...",Alfred Hitchcock Presents,https://www.imdb.com/title/tt0047708/?ref_=chttvtp_i_249,1955–1962
25m,8.7,15K,375,8,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",Gintama,https://www.imdb.com/title/tt0988818/?ref_=chttvtp_i_247,2005–2021
1h 30m,8.6,18K,28,8,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the after...",Foyle's War,https://www.imdb.com/title/tt0310455/?ref_=chttvtp_i_248,2002–2015
23m,8.5,37K,25,,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,Your Lie in April,https://www.imdb.com/title/tt3895150/?ref_=chttvtp_i_246,2014–2018
1h 20m,8.8,17K,30,2,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", w...",Alchemy of Souls,https://www.imdb.com/title/tt20859920/?ref_=chttvtp_i_244,2022– 
50m,8.5,17K,30,6,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a...",Chef's Table,https://www.imdb.com/title/tt4295140/?ref_=chttvtp_i_245,2015–2019
22m,8.5,292K,110,6,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Community,https://www.imdb.com/title/tt1439629/?ref_=chttvtp_i_242,2009–2015
,8.6,21K,190,6,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Avrupa Yakasi,https://www.imdb.com/title/tt0421291/?ref_=chttvtp_i_241,2004–2009
20m,8.6,12K,6,,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,Tear Along the Dotted Line,https://www.imdb.com/title/tt15614372/?ref_=chttvtp_i_243,2021
45m,8.6,24K,100,9,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,Wentworth,https://www.imdb.com/title/tt2433738/?ref_=chttvtp_i_238,2013–2021
1h,8.6,18K,25,4,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,My Brilliant Friend,https://www.imdb.com/title/tt7278862/?ref_=chttvtp_i_240,2018– 
45m,8.7,11K,21,3,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies be...",Umbre,https://www.imdb.com/title/tt4269716/?ref_=chttvtp_i_239,2014–2019
,8.5,275K,39,3,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,Hannibal,https://www.imdb.com/title/tt2243973/?ref_=chttvtp_i_236,2013–2015
30m,8.5,57K,19,3,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,Derry Girls,https://www.imdb.com/title/tt7120662/?ref_=chttvtp_i_232,2018–2022
24m,8.5,77K,51,,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...",Fullmetal Alchemist,https://www.imdb.com/title/tt0421357/?ref_=chttvtp_i_229,2003–2004
1h,8.6,13K,12,,Dramatized portrayal of the Apollo manned space program.,From the Earth to the Moon,https://www.imdb.com/title/tt0120570/?ref_=chttvtp_i_231,1998
1h 58m,8.6,16K,4,,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",Rurouni Kenshin: Trust and Betrayal,https://www.imdb.com/title/tt0203082/?ref_=chttvtp_i_234,1999
30m,8.5,26K,7,2,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,The Rehearsal,https://www.imdb.com/title/tt10802170/?ref_=chttvtp_i_235,2022– 
1h,8.5,171K,62,6,"The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the...",The Expanse,https://www.imdb.com/title/tt3230854/?ref_=chttvtp_i_233,2015–2022
1h 15m,8.6,26K,16,,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",Extraordinary Attorney Woo,https://www.imdb.com/title/tt20869502/?ref_=chttvtp_i_230,2022
22m,8.5,144K,80,6,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They...",Schitt's Creek,https://www.imdb.com/title/tt3526078/?ref_=chttvtp_i_227,2015–2020
45m,8.6,245K,175,13,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,Doctor Who,https://www.imdb.com/title/tt0436992/?ref_=chttvtp_i_226,2005–2022
30m,8.6,29K,81,12,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Letterkenny,https://www.imdb.com/title/tt4647692/?ref_=chttvtp_i_224,2016–2023
22m,8.5,260K,180,14,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",Futurama,https://www.imdb.com/title/tt0149460/?ref_=chttvtp_i_228,1999– 
23m,8.5,57K,244,8,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,Regular Show,https://www.imdb.com/title/tt1710308/?ref_=chttvtp_i_223,2010–2017
3h 55m,8.6,35K,4,,"North and South is a four-part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle-class southerner who is forced to move to the northern town of Milton.",North & South,https://www.imdb.com/title/tt0417349/?ref_=chttvtp_i_222,2004
1h 2m,8.5,531K,36,4,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",Westworld,https://www.imdb.com/title/tt0475784/?ref_=chttvtp_i_237,2016–2022
5h 31m,8.5,145K,6,,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",Spartacus: Gods of the Arena,https://www.imdb.com/title/tt1758429/?ref_=chttvtp_i_221,2011
30m,8.6,38K,43,4,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point...",Skam,https://www.imdb.com/title/tt5288312/?ref_=chttvtp_i_220,2015–2017
30m,8.5,50K,106,12,Three petty felons have a documentary made about their life in a trailer park.,Trailer Park Boys,https://www.imdb.com/title/tt0290988/?ref_=chttvtp_i_218,2001–2018
46m,8.5,282K,134,11,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",Shameless,https://www.imdb.com/title/tt1586680/?ref_=chttvtp_i_217,2011–2021
,8.5,75K,18,,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Twin Peaks,https://www.imdb.com/title/tt4093826/?ref_=chttvtp_i_216,2017
25m,8.6,12K,7,2,"Controversial spoof of current affairs television, and the role of celebrity in the UK.",Brass Eye,https://www.imdb.com/title/tt0118273/?ref_=chttvtp_i_219,1997–2001
28m,8.5,165K,53,6,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Silicon Valley,https://www.imdb.com/title/tt2575988/?ref_=chttvtp_i_225,2014–2019
24m,8.5,84K,26,,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Neon Genesis Evangelion,https://www.imdb.com/title/tt0112159/?ref_=chttvtp_i_215,1995–1996
45m,8.6,321K,92,7,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Sons of Anarchy,https://www.imdb.com/title/tt1124373/?ref_=chttvtp_i_214,2008–2014
1h,8.6,18K,62,8,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there bef...",Through the Wormhole,https://www.imdb.com/title/tt1513168/?ref_=chttvtp_i_213,2010–2017
,8.5,64K,18,3,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,Happy Valley,https://www.imdb.com/title/tt3428912/?ref_=chttvtp_i_211,2014–2023
40m,8.5,50K,60,6,Docuseries following the FIA Formula One World Championship across multiple seasons.,Formula 1: Drive to Survive,https://www.imdb.com/title/tt8289930/?ref_=chttvtp_i_210,2019– 
