url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt1806234/?ref_=chttvtp_i_31,Planète des hommes,2011,,8,50min,"Comme toutes les formes de vie, l'humanité a également tendance à s'adapter aux différents environnements naturels, mais elle a aussi tendance à les modifier.","9,0",28 k
https://www.imdb.com/title/tt0081912/?ref_=chttvtp_i_36,Only Fools and Horses,1981–2003,9,64,1h 35min,Une comédie qui suit deux frères dans le lôtissement dûr de Peckham à Londres alors qu'ils tentent de régler un certain nombre de contrats loufoques à la recherche du gros lot qui fera d'eux...,"9,0",56 k
https://www.imdb.com/title/tt10541088/?ref_=chttvtp_i_34,Clarkson à la ferme,2021– ,4,18,45min,Suivez Jeremy Clarkson alors qu'il tente de gérer une ferme à la campagne.,"9,0",55 k
https://www.imdb.com/title/tt2098220/?ref_=chttvtp_i_35,Hunter x Hunter,2011–2014,,148,24min,"Gon Freecss aspire à devenir chasseur. Avec ses amis et son potentiel, il recherche son père qui l'a quitté quand il était plus jeune.","9,0",132 k
https://www.imdb.com/title/tt0303461/?ref_=chttvtp_i_32,Firefly,2002–2003,,14,,"Cinq cents ans plus tard, un équipage renégat à bord d'un petit vaisseau spatial tente de survivre alors qu'il parcourt des régions inconnues de la galaxie et échappe aux factions en guerre ...","9,0",281 k
https://www.imdb.com/title/tt0903747/?ref_=chttvtp_i_1,Breaking Bad,2008–2013,5,62,45min,Un professeur de chimie de lycée chez qui on a diagnostiqué un cancer du poumon inopérable se tourne vers la fabrication et la vente de méthamphétamine pour assurer l'avenir de sa famille.,"9,5","2,1 M"
https://www.imdb.com/title/tt0098769/?ref_=chttvtp_i_37,The Civil War,1990,,9,11h 20min,Une étude approfondie de la guerre civile américaine.,"9,0",18 k
https://www.imdb.com/title/tt2092588/?ref_=chttvtp_i_33,Terres de glace,2011–2012,,10,,La série documentaire se focalise sur la vie et l'environnement dans l'Arctique et l'Antarctique.,"9,0",33 k
https://www.imdb.com/title/tt0296310/?ref_=chttvtp_i_28,The Blue Planet,2001,,8,6h 29min,La série Mammoth s'intéresse à la plus riche variété de vie dans les océans du monde.,"9,0",42 k
https://www.imdb.com/title/tt3032476/?ref_=chttvtp_i_30,Better Call Saul,2015–2022,6,63,,Les procès et tribulations de l'avocat criminel Jimmy McGill durant la période précédant la création de son cabinet d'avocats spécialisé dans les centres commerciaux à Albuquerque au Nouveau...,"9,0",640 k
https://www.imdb.com/title/tt2560140/?ref_=chttvtp_i_24,L'attaque des titans,2013–2023,4,98,24min,"Après la destruction de sa ville natale et la mort de sa mère, le jeune Eren Yeager promet de purger la terre des géants humanoïdes appelés Titans qui menacent l'humanité toute entière.","9,1",502 k
https://www.imdb.com/title/tt12392504/?ref_=chttvtp_i_26,Scam 1992: The Harshad Mehta Story,2020,,10,54min,"Situé dans les années 80 et 90 à Bombay, la série suit Harshad Mehta, un agent de change qui a porté le marché boursier à des hauteurs vertigineuses et sa chute catastrophique.","9,3",156 k
https://www.imdb.com/title/tt11126994/?ref_=chttvtp_i_29,Arcane,2021– ,2,10,41min,Raconte l'intensification des tensions entre deux villes suite à l'apparition de nouvelles inventions qui menacent de provoquer une véritable révolution.,"9,0",265 k
https://www.imdb.com/title/tt2788316/?ref_=chttvtp_i_25,Shōgun,2024,,10,,"Situé au 17e siècle, John Blackthorne, un marin qui passe du statut d'étranger à celui de samouraï tout en étant utilisé comme pion dans la lutte du leader japonais Toranaga.","9,2",30 k
https://www.imdb.com/title/tt0103359/?ref_=chttvtp_i_23,Batman,1992–1995,4,85,23min,Le Chevalier Noir combat le crime à Gotham City avec l'aide occasionnelle de Robin et de Batgirl.,"9,0",116 k
https://www.imdb.com/title/tt0386676/?ref_=chttvtp_i_27,The Office,2005–2013,9,188,22min,"Le quotidien d'un groupe d'employés de bureau ordinaire, pour qui une journée de travail typique implique des conflits égocentriques, des comportements inappropriés et de l'ennui total.","9,0",703 k
https://www.imdb.com/title/tt0047708/?ref_=chttvtp_i_249,Alfred Hitchcock présente,1955–1962,7,268,25min,"Des histoires courtes sans rapport englobant du crime, de l'horreur, du drame, de la comédie sur des personnes issues de contextes variés et commettant des meurtres, des suicides, des vols e...","8,5",19 k
https://www.imdb.com/title/tt0310455/?ref_=chttvtp_i_248,Foyle's War,2002–2015,8,28,1h 30min,Christopher Foyle enquête sur les crimes qui se produisent sur la côte sud de l'Angleterre.,"8,6",18 k
https://www.imdb.com/title/tt0988818/?ref_=chttvtp_i_246,Gintama,2005–2021,8,375,25min,"Dans un monde où les extraterrestres ont envahi et pris le contrôle de Tokyo, un samouraï au chômage trouve du travail comme il le peut.","8,7",15 k
https://www.imdb.com/title/tt3895150/?ref_=chttvtp_i_247,Your Lie in April,2014–2018,,25,23min,Un prodige du piano ayant perdu sa capacité de jouer après avoir subi un événement traumatisant pendant l'enfance est forcé à revenir sur le devant de la scène par une fille excentrique qui ...,"8,5",37 k
